jumlah_penduduk,luas_wilayah,kepadatan_penduduk,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
97600,3893.05,25.07031762,87.87,82.16,78.83,2.88,1710128.0,12.42,515244,70.22,72.44,1,36,12,8.22,9.44,0,21.0,13.3,1
169200,1930.75,87.63433899,85.16,93.12,87.04,2.45,1933532.0,18.31,551868,47.07,76.06,1,27,12,6.57,7.22,0,17.3,5.0,1
164400,953.12,172.4861507,90.26,80.07,78.07,4.34,1654184.0,18.4,572452,64.08,76.04,1,52,14,7.37,9.47,0,22.7,12.9,1
262000,55.85,4691.136974,98.63,91.71,99.91,8.03,2148715.0,7.04,814530,69.96,88.32,2,119,11,30.32,5.47,0,18.9,12.9,1
42900,122.04,351.5240905,92.67,94.66,93.96,3.92,1697952.0,14.59,715446,74.66,78.7,2,23,6,24.95,9.01,0,24.4,16.9,1
194700,217.17,896.5326703,99.11,84.38,92.92,7.73,1919587.0,10.53,512319,61.79,80.5,2,35,4,23.46,9.89,0,19.9,12.4,1
197400,136.49,1446.259799,98.31,95.73,90.36,8.78,2015048.0,10.73,498431,68.25,80.26,2,32,7,21.93,6.09,0,17.4,10.1,1
96900,1183.6,81.86887462,55.58,84.81,63.4,5.69,2079309.0,16.41,487777,67.26,69.66,1,13,7,11.23,7.3,0,20.0,14.8,1
153658,902.395,170.2779825,51.33,72.65,23.86,2.31,900622.0,15.1,485533,47.89,65.15,0,34,10,7.87,8.14,0,12.7,7.6,1
496975,6547.257,75.90583354,78.93,59.45,35.89,7.45,1419463.0,8.86,487436,41.87,72.65,1,44,27,13.6,9.03,0,15.8,7.8,1
312540,4201.035,74.39595243,75.78,66.82,51.54,3.49,1389511.0,7.01,480834,69.36,74.58,1,9,16,15.96,8.1,0,5.7,0.9,0
386895,2307.677,167.6556121,78.31,75.99,60.46,7.81,1149758.0,11.5,489760,40.53,72.77,1,37,25,18.53,6.99,0,16.5,7.5,1
323102,3895.604,82.94015511,90.83,96.53,91.21,1.03,1467408.0,8.54,499881,52.8,76.86,1,48,20,21.43,7.05,0,10.2,4.0,1
213850,2291.616,93.31842682,96.04,90.45,93.26,1.3,1571703.0,8.04,496950,61.36,77.83,1,24,19,27.61,6.91,0,15.1,2.2,1
513826,2772.384,185.3372404,91.88,93.04,84.79,5.99,1988546.0,7.99,524240,51.09,74.7,1,29,16,26.61,7.38,0,12.1,6.9,1
802563,3737.83,214.7136173,93.94,93.83,92.13,6.12,1783647.0,8.21,427293,51.69,73.59,1,41,34,21.91,8.65,0,11.1,6.7,0
1035920,4601.477,225.1277144,98.48,94.55,92.96,5.35,1576709.0,7.87,467926,51.52,75.17,1,59,43,31.0,11.19,0,12.9,7.3,0
324747,2083.604,155.8583109,92.31,95.49,94.42,1.23,1724104.0,7.47,463360,48.29,75.18,1,32,17,25.22,7.66,0,11.5,4.0,1
420799,2206.876,190.6763225,93.13,94.15,88.11,2.63,2425901.0,7.98,606244,53.55,76.88,1,63,19,33.58,5.42,0,10.6,6.1,1
2018164,2581.232,781.8607549,95.51,90.62,96.78,8.62,2256584.0,3.44,479509,50.57,77.16,1,113,36,27.87,9.7,0,24.3,13.9,1
1066711,614.035,1737.215305,96.29,92.31,90.65,6.33,1497061.0,9.23,483543,48.86,74.33,1,45,35,21.12,10.75,0,14.5,10.7,0
382539,2531.703,151.0994773,64.55,56.54,15.63,3.48,973347.0,16.39,379929,43.47,64.98,0,33,41,4.06,13.45,0,13.0,8.1,1
204700,2351.514,87.05030036,94.94,95.79,96.99,0.84,1349301.0,8.69,451625,48.16,72.49,1,18,11,21.7,5.82,0,8.7,3.1,0
55172,1365.607,40.40108172,73.47,90.58,83.74,0.45,1110994.0,7.54,384812,58.36,72.3,1,14,8,15.37,5.26,0,13.2,3.0,1
141333,185.035,763.8176561,74.78,94.77,93.18,1.03,1246935.0,11.66,425875,62.94,72.93,1,22,13,23.62,6.31,0,8.2,1.9,1
682918,1949.18,350.3616906,97.53,91.32,93.29,4.97,1775878.0,7.44,503955,41.54,73.4,1,23,20,27.73,10.59,0,12.1,5.1,0
430533,888.142,484.756942,97.21,86.78,92.54,5.88,1824252.0,11.38,556529,53.95,72.56,0,19,14,19.68,8.44,0,22.4,17.6,0
275448,3945.557,69.81219635,83.78,83.78,72.22,4.42,1969413.0,8.79,467457,46.62,73.45,1,18,17,19.01,6.09,0,14.5,8.4,1
275648,3914.413,70.418732,85.99,76.35,68.32,5.75,1929614.0,7.89,449217,46.79,72.16,1,59,16,15.59,5.26,0,16.3,9.3,0
