,jumlah_penduduk,luas_wilayah,kategori_kepadatan,persentase_akses_air_minum_layak,persentase_memiliki_jamban_layak,persentase_akses_sanitasi_layak,tingkat_pengangguran,rata_rata_pendapatan,persentase_penduduk_miskin,garis_kemiskinan(rupiah/kapita/bulan),indeks_pembangunan_literasi,indeks_pembangunan_manusia,rata_rata_pendidikan_akhir,jumlah_tenaga_kesehatan_gizi,jumlah_puskesmas,penerima_bpjs_non_pbi,prevalensi_ketidakcukupan_pangan,jumlah_bencana_kekeringan,prevalensi_underweight,prevalensi_wasting,label
290,2542790,3631.92,3,80.79,78.96,61.76,8.41,1413799.0,10.55,437327,28.13,65.94,0,79,47,7.74,9.54,0,10.8,4.2,0
291,3718660,1740.84,3,93.79,88.55,70.85,6.98,2046094.0,6.8,426069,53.7,73.16,1,215,63,22.46,8.3,0,14.0,2.9,1
292,2627220,3101.24,3,78.15,77.05,51.9,7.6,1577196.0,10.42,367681,49.21,67.41,0,91,68,7.96,7.74,0,13.1,3.8,1
293,1906290,2705.86,3,89.35,76.59,54.39,4.17,1258220.0,10.73,378958,52.48,66.84,0,68,40,7.85,10.45,0,13.3,2.4,1
294,1247770,1595.94,3,93.8,88.12,75.5,3.75,1379048.0,7.72,442108,62.85,71.45,0,73,36,12.68,6.74,0,14.1,7.1,0
295,1196020,1192.9,3,95.51,91.41,69.29,9.81,1585507.0,12.76,402767,53.96,70.16,0,78,38,16.52,6.63,0,13.4,5.5,0
296,2315420,1071.95,3,94.99,77.99,86.76,8.11,1835970.0,12.01,451853,51.54,70.06,0,153,63,16.58,9.04,0,19.7,9.3,0
297,1335460,1330.17,3,95.7,90.34,81.26,4.16,1518006.0,11.94,520713,58.47,68.56,0,82,32,14.67,9.88,0,16.1,7.7,1
298,1167030,1566.2,3,95.84,90.12,80.59,7.72,1601751.0,10.14,396573,61.26,72.69,0,70,35,17.64,7.43,0,15.7,3.7,1
299,1871830,2076.06,3,95.25,81.39,86.64,6.49,1901275.0,12.77,532545,73.78,68.55,0,75,49,14.2,5.99,0,19.1,9.2,1
300,1624390,2165.55,3,98.01,92.2,80.02,7.77,1948730.0,9.75,404320,47.63,69.87,0,76,40,18.34,7.06,0,12.5,7.8,0
301,1028570,993.09,3,92.59,93.03,82.46,8.75,1957779.0,8.7,434187,55.55,71.56,0,72,20,25.72,6.72,0,14.1,6.6,1
302,2505250,1913.71,3,98.19,85.42,85.1,9.87,2334853.0,8.44,555889,46.12,71.74,2,135,51,31.78,6.73,0,13.7,7.2,0
303,3214790,1251.02,3,94.86,92.61,89.99,10.31,2404396.0,5.01,632811,36.4,75.22,2,230,50,22.98,4.3,2,8.1,8.4,0
304,1846970,1283.44,3,86.6,88.3,50.96,9.63,1775068.0,10.82,426355,53.6,69.04,0,95,33,18.07,7.81,0,15.7,4.1,1
305,432380,1128.18,2,84.14,90.04,83.0,1.56,1367906.0,9.32,447242,44.85,69.03,0,44,15,0.99,5.77,0,13.9,4.9,1
306,1063510,111.37,3,98.73,91.14,67.93,10.78,2493000.0,7.1,661384,52.0,77.17,2,207,24,32.73,5.35,0,13.0,5.5,0
307,356410,48.31,3,97.82,94.18,45.8,8.83,2012715.0,8.02,644276,82.15,75.4,2,47,15,28.3,8.46,0,14.2,7.2,0
308,2461550,166.59,3,99.03,82.35,49.85,9.55,2325257.0,4.25,591124,75.7,82.5,2,350,71,32.57,4.55,0,12.5,4.2,0
309,341240,39.44,3,99.05,85.36,90.62,8.42,1849590.0,9.82,520579,87.75,75.89,2,88,21,27.63,7.97,0,17.6,12.6,0
310,2590260,213.04,3,98.28,95.2,90.8,8.81,3014772.0,4.43,795965,51.79,82.46,2,279,43,44.8,3.33,0,15.0,5.6,0
311,2123350,199.91,3,99.44,98.9,96.21,7.82,2895486.0,2.53,804984,74.44,81.86,2,125,37,45.81,2.15,0,12.1,6.1,0
312,575240,42.43,3,97.81,87.4,77.18,10.77,2275948.0,5.11,590197,57.78,78.77,2,75,12,45.85,4.63,0,9.9,2.8,0
313,733470,183.94,3,96.81,86.1,52.62,6.62,1727815.0,12.72,537497,76.45,73.83,0,80,23,13.35,7.92,0,13.0,5.5,1
314,206460,131.01,3,97.67,92.91,88.26,5.53,1397678.0,6.73,408710,68.56,72.55,0,43,10,16.93,6.4,0,12.8,6.2,0
315,1988622,2323.93,3,90.56,89.05,79.1,9.62,1046090.0,11.02,419429,45.5,70.99,0,94,38,12.01,16.69,0,15.8,7.6,0
316,1806013,1391.15,3,90.03,90.08,79.8,6.05,1059036.0,12.84,479027,52.57,73.17,0,157,39,24.17,11.93,0,14.0,5.9,0
317,1019840,805.76,3,88.61,90.86,78.56,5.23,1020756.0,15.3,439208,54.69,69.54,0,58,22,14.14,13.24,0,16.1,6.5,1
318,1038718,1144.9,3,89.21,85.22,51.66,6.38,1027275.0,15.2,380046,60.84,68.61,0,97,35,9.76,14.37,0,12.1,3.5,1
319,1376825,1334.1,3,87.38,92.48,93.49,5.92,946706.0,16.41,451678,71.8,70.79,0,93,35,14.83,12.46,0,17.1,6.3,1
320,778257,1081.96,3,89.1,89.12,80.21,4.45,936413.0,11.53,427622,35.88,73.6,2,63,27,21.58,16.57,0,18.4,8.9,1
321,896346,1011.62,3,90.28,89.55,55.3,5.01,1004002.0,16.17,425105,63.81,68.89,0,57,24,12.46,14.92,0,12.5,3.9,1
322,1312573,1129.98,3,94.65,87.09,80.49,4.97,974178.0,11.09,411129,61.88,70.85,0,69,28,14.6,15.84,0,16.9,3.9,1
323,1079952,1096.59,3,96.36,88.14,92.4,4.92,1307210.0,9.82,420339,45.58,74.97,2,75,24,23.28,14.24,0,17.5,7.4,1
324,1275850,701.5,3,97.97,91.42,95.0,4.31,1356181.0,12.33,488102,43.57,76.95,2,130,36,27.63,15.45,0,16.1,6.2,0
325,916627,493.53,3,99.45,90.36,96.14,2.47,1566507.0,7.61,476675,70.5,77.94,2,94,12,33.57,12.74,0,18.0,9.5,0
326,1057087,1905.74,3,94.67,94.58,94.62,1.95,1034585.0,10.99,414901,55.63,71.04,0,84,40,15.21,12.82,0,12.9,5.3,0
327,947642,803.05,3,98.18,96.13,96.32,5.7,1349950.0,9.85,465703,66.57,76.58,2,60,21,24.95,10.68,0,15.0,5.8,1
328,992243,994.57,3,96.85,91.7,93.08,4.69,1338235.0,12.94,426482,47.01,74.65,0,89,25,19.21,11.8,0,21.1,10.8,1
329,1470150,2023.85,3,81.85,84.32,87.93,4.4,1586556.0,11.8,464614,40.45,70.97,0,84,31,11.64,15.88,0,17.3,9.3,0
